Time,Velocity,Omega
1571250115.552602,0.300000,-3.353489
1571250115.608117,0.300000,-3.402414
1571250115.664769,0.300000,-2.755899
1571250115.703569,0.300000,-1.766167
1571250115.751765,0.300000,-1.138459
1571250115.828095,0.300000,0.402760
1571250115.888903,0.300000,-0.779480
1571250115.941702,0.300000,0.585926
1571250115.980100,0.300000,3.229736
1571250116.063867,0.300000,2.316427
1571250116.092864,0.300000,-0.365298
1571250116.140326,0.300000,0.315549
1571250116.165257,0.300000,0.497414
1571250116.207747,0.300000,0.107938
1571250116.303825,0.300000,-0.128486
1571250116.332039,0.300000,-1.008776
1571250116.394661,0.300000,-0.456979
1571250116.493237,0.300000,-1.131956
1571250116.537298,0.300000,-1.435051
1571250116.602134,0.300000,-1.866020
1571250116.680219,0.300000,-1.515930
1571250116.741373,0.300000,-2.267677
1571250116.788823,0.300000,-1.992916
1571250116.837737,0.300000,-1.875538
1571250116.905534,0.300000,-2.030538
1571250117.005751,0.300000,-2.232227
1571250117.065554,0.300000,-1.381510
1571250117.111275,0.300000,-2.680364
1571250117.278015,0.300000,-2.608483
1571250117.374866,0.300000,-1.353261
1571250117.433235,0.300000,-1.363566
1571250117.480580,0.300000,-1.203163
1571250117.517674,0.300000,-1.280688
1571250117.641967,0.300000,-0.866594
1571250117.678362,0.300000,-0.570794
1571250117.740828,0.300000,-1.033208
1571250117.776013,0.300000,-0.644390
1571250117.908768,0.300000,-0.907967
1571250117.960137,0.300000,-1.635891
1571250118.081138,0.300000,-1.367340
1571250118.144428,0.300000,-1.917766
1571250118.212193,0.300000,-1.055539
1571250118.300041,0.300000,-1.898364
1571250118.354903,0.300000,-2.291867
1571250118.418311,0.300000,-1.618768
1571250118.476598,0.300000,-1.955541
1571250118.647318,0.300000,-1.911211
1571250118.739367,0.300000,-1.660596
1571250118.828940,0.300000,-2.283303
1571250118.883677,0.300000,-2.134438
1571250118.918185,0.300000,-2.570959
1571250118.963738,0.300000,-2.664459
1571250119.007849,0.300000,-2.492054
1571250119.047817,0.300000,-2.726635
1571250119.108740,0.300000,-2.760755
1571250119.238568,0.300000,-1.458649
1571250119.348803,0.300000,-1.849229
1571250119.426611,0.300000,-2.187812
1571250119.611139,0.300000,-1.737392
1571250119.706824,0.300000,-1.169881
1571250119.754015,0.300000,1.559300
1571250119.797838,0.300000,-0.915047
1571250119.831490,0.300000,2.414586
1571250119.904608,0.300000,2.782351
1571250119.968783,0.300000,-0.961497
